academic_year,semester,school,jae_course_code,course_name,gender,intake
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,MALE,18
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,FEMALE,18
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,MALE,33
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,FEMALE,44
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,MALE,8
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,FEMALE,198
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,MALE,113
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,FEMALE,58
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,MALE,51
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,FEMALE,84
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,MALE,60
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,FEMALE,41
2015,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,MALE,33
2015,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,FEMALE,27
2015,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,MALE,23
